epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3998.02,1.10434,0.90744,1.33189,0.81401,0.72518,0.80008,0.52765,1.15781,0.88569,1.41922,0.007228,0.007228,0.007228
44,4090.28,1.08628,0.88777,1.32526,0.83212,0.70744,0.78799,0.52776,1.14174,0.84136,1.40097,0.007162,0.007162,0.007162
45,4182.8,1.07268,0.88412,1.32214,0.82187,0.72291,0.79398,0.5298,1.14355,0.88191,1.41763,0.007096,0.007096,0.007096
46,4275.24,1.07619,0.87091,1.32133,0.83972,0.69498,0.79655,0.53149,1.13001,0.9028,1.40361,0.00703,0.00703,0.00703
47,4367.63,1.06633,0.86175,1.30872,0.8427,0.7014,0.79096,0.5295,1.14396,0.86246,1.42128,0.006964,0.006964,0.006964
48,4459.96,1.05502,0.85277,1.31294,0.84012,0.7062,0.79761,0.53781,1.13313,0.86246,1.40557,0.006898,0.006898,0.006898
49,4552.62,1.06046,0.84964,1.31004,0.80497,0.72216,0.78814,0.52604,1.14419,0.89081,1.41526,0.006832,0.006832,0.006832
50,4645.04,1.0525,0.83976,1.29999,0.82875,0.71068,0.79508,0.53205,1.13628,0.88419,1.40292,0.006766,0.006766,0.006766
51,4737.31,1.03335,0.82483,1.28962,0.82806,0.71499,0.78806,0.52988,1.14009,0.88293,1.40924,0.0067,0.0067,0.0067
52,4829.38,1.03116,0.81316,1.28598,0.82063,0.71845,0.79732,0.53614,1.12835,0.92284,1.41834,0.006634,0.006634,0.006634
53,4921.91,1.02093,0.80748,1.27549,0.84298,0.71341,0.80272,0.53933,1.13226,0.8483,1.39547,0.006568,0.006568,0.006568
54,5014.21,1.02837,0.81136,1.28029,0.82962,0.71914,0.8043,0.54509,1.11039,0.85948,1.38365,0.006502,0.006502,0.006502
55,5106.29,1.01995,0.78794,1.27557,0.83854,0.70971,0.79602,0.53942,1.12023,0.86145,1.39825,0.006436,0.006436,0.006436
56,5198.54,1.00358,0.78341,1.26938,0.82242,0.72367,0.80069,0.53951,1.12268,0.8381,1.39554,0.00637,0.00637,0.00637
57,5291.08,0.99597,0.76731,1.26082,0.83517,0.71345,0.80279,0.54184,1.14427,0.87698,1.40797,0.006304,0.006304,0.006304
58,5383.08,0.99113,0.77322,1.25737,0.8206,0.71312,0.79415,0.54112,1.10757,0.83579,1.39726,0.006238,0.006238,0.006238
59,5475.54,0.98079,0.76416,1.25404,0.84396,0.70643,0.79923,0.54424,1.12097,0.89559,1.42604,0.006172,0.006172,0.006172
60,5568.01,0.98893,0.762,1.25265,0.83662,0.71083,0.79301,0.53787,1.12536,0.85728,1.40754,0.006106,0.006106,0.006106
61,5660.34,0.97871,0.75523,1.25196,0.82318,0.7282,0.80163,0.54915,1.11124,0.82009,1.40389,0.00604,0.00604,0.00604
62,5752.47,0.95852,0.73695,1.23634,0.83733,0.71083,0.8028,0.55077,1.12468,0.83872,1.41784,0.005974,0.005974,0.005974
63,5844.73,0.95391,0.7271,1.23751,0.85329,0.70932,0.80515,0.54868,1.11304,0.83776,1.40181,0.005908,0.005908,0.005908
64,5937.61,0.95736,0.73158,1.23522,0.82656,0.72556,0.80334,0.54909,1.11192,0.85418,1.39781,0.005842,0.005842,0.005842
65,6029.94,0.95279,0.72302,1.23211,0.84675,0.71751,0.8063,0.55401,1.10931,0.83622,1.39723,0.005776,0.005776,0.005776
66,6122.14,0.94515,0.72039,1.23155,0.83503,0.72995,0.80536,0.54868,1.12896,0.82887,1.40743,0.00571,0.00571,0.00571
67,6214.36,0.94114,0.71594,1.22425,0.83778,0.71385,0.80025,0.54761,1.12003,0.89301,1.40369,0.005644,0.005644,0.005644
68,6306.96,0.94022,0.71389,1.21513,0.83902,0.71619,0.80033,0.54673,1.13084,0.84929,1.41786,0.005578,0.005578,0.005578
69,6399.41,0.92766,0.70944,1.22287,0.85629,0.70631,0.79934,0.54756,1.12699,0.86365,1.43752,0.005512,0.005512,0.005512
70,6491.47,0.91372,0.68662,1.20208,0.84682,0.71801,0.80269,0.54846,1.12685,0.85112,1.42689,0.005446,0.005446,0.005446
71,6583.74,0.92332,0.69537,1.20968,0.85463,0.70744,0.79948,0.545,1.1142,0.85432,1.41637,0.00538,0.00538,0.00538
72,6676.19,0.90354,0.67778,1.19814,0.8547,0.70615,0.8006,0.54622,1.10668,0.84402,1.41361,0.005314,0.005314,0.005314
73,6768.87,0.90413,0.67277,1.19963,0.83306,0.72336,0.80275,0.54918,1.12783,0.83949,1.4382,0.005248,0.005248,0.005248
74,6860.96,0.91064,0.67302,1.19317,0.84207,0.71255,0.80013,0.54578,1.14324,0.83045,1.43462,0.005182,0.005182,0.005182
75,6953.31,0.90948,0.67056,1.19376,0.83494,0.72027,0.80138,0.54451,1.12687,0.85529,1.43645,0.005116,0.005116,0.005116
76,7046.04,0.89069,0.66898,1.18952,0.84619,0.71952,0.80499,0.55425,1.11436,0.85173,1.41239,0.00505,0.00505,0.00505
77,7139.01,0.89272,0.66405,1.19353,0.83719,0.72015,0.80347,0.55739,1.10303,0.87448,1.40969,0.004984,0.004984,0.004984
78,7231.27,0.8852,0.66216,1.19191,0.82545,0.72556,0.7961,0.55205,1.10355,0.88119,1.40387,0.004918,0.004918,0.004918
79,7323.66,0.87825,0.6449,1.18401,0.85479,0.7214,0.80191,0.55242,1.11001,0.85441,1.41453,0.004852,0.004852,0.004852
80,7416.22,0.87499,0.64109,1.18107,0.82427,0.73046,0.80077,0.55491,1.10588,0.79941,1.41196,0.004786,0.004786,0.004786
81,7508.53,0.86041,0.62308,1.17083,0.8366,0.71898,0.79877,0.55245,1.11193,0.85113,1.44106,0.00472,0.00472,0.00472
82,7600.56,0.86386,0.6303,1.17481,0.86653,0.70064,0.80143,0.55695,1.11901,0.84332,1.43761,0.004654,0.004654,0.004654
83,7692.6,0.85762,0.63018,1.17819,0.86153,0.71008,0.8023,0.55297,1.11365,0.86472,1.44279,0.004588,0.004588,0.004588
84,7785.36,0.85727,0.61989,1.1633,0.8747,0.7014,0.79811,0.55113,1.11898,0.86107,1.43996,0.004522,0.004522,0.004522
85,7877.87,0.84957,0.61967,1.16117,0.86092,0.70101,0.79399,0.54758,1.12348,0.93326,1.44847,0.004456,0.004456,0.004456
86,7969.95,0.84438,0.61591,1.16374,0.85959,0.7097,0.80158,0.55334,1.11861,0.88184,1.44117,0.00439,0.00439,0.00439
87,8062.09,0.83872,0.60911,1.15842,0.82934,0.73462,0.79799,0.55037,1.11345,0.82852,1.44173,0.004324,0.004324,0.004324
88,8154.88,0.83196,0.60223,1.14944,0.82507,0.7318,0.7965,0.55047,1.10656,0.81711,1.43156,0.004258,0.004258,0.004258
89,8247.08,0.82436,0.59468,1.14289,0.84732,0.72103,0.80186,0.55265,1.11897,0.82846,1.43762,0.004192,0.004192,0.004192
90,8339.4,0.821,0.59305,1.14028,0.85154,0.71019,0.79935,0.55274,1.11626,0.83952,1.43717,0.004126,0.004126,0.004126
91,8431.68,0.81296,0.58637,1.13733,0.85181,0.71172,0.79937,0.55216,1.12613,0.86239,1.44974,0.00406,0.00406,0.00406
92,8524.55,0.80378,0.57173,1.13793,0.84538,0.71826,0.79822,0.55485,1.11864,0.85392,1.44388,0.003994,0.003994,0.003994
93,8616.9,0.80848,0.58567,1.13439,0.85163,0.70895,0.79691,0.55187,1.12334,0.83816,1.45234,0.003928,0.003928,0.003928
94,8709.15,0.79248,0.57231,1.13233,0.8274,0.72744,0.802,0.55681,1.12395,0.81754,1.45713,0.003862,0.003862,0.003862
95,8801.33,0.78946,0.56376,1.13026,0.84388,0.72065,0.80348,0.55709,1.12889,0.80762,1.4551,0.003796,0.003796,0.003796
96,8893.82,0.78932,0.56802,1.12107,0.8465,0.72216,0.80723,0.56144,1.12462,0.79685,1.4576,0.00373,0.00373,0.00373
97,8986.02,0.77473,0.56374,1.12448,0.85258,0.70956,0.8028,0.56032,1.12017,0.81179,1.45136,0.003664,0.003664,0.003664
98,9078.27,0.77333,0.55072,1.11815,0.8534,0.70857,0.80622,0.56213,1.12199,0.80901,1.46321,0.003598,0.003598,0.003598
99,9170.9,0.77336,0.55506,1.11768,0.84436,0.72254,0.80242,0.55633,1.1273,0.81364,1.47397,0.003532,0.003532,0.003532
100,9264.54,0.77889,0.55503,1.11611,0.85104,0.71801,0.80232,0.55806,1.12127,0.81225,1.46115,0.003466,0.003466,0.003466
101,9360.64,0.76726,0.54892,1.10717,0.8539,0.70744,0.79872,0.55679,1.11574,0.79044,1.44726,0.0034,0.0034,0.0034
102,9456.89,0.77136,0.54811,1.11281,0.86111,0.70919,0.80049,0.55798,1.11562,0.81039,1.44633,0.003334,0.003334,0.003334
103,9551.48,0.75196,0.53366,1.0969,0.86543,0.70328,0.80156,0.5593,1.12013,0.81358,1.44811,0.003268,0.003268,0.003268
104,9645.76,0.76104,0.54315,1.10487,0.85239,0.71068,0.80259,0.55887,1.11649,0.82198,1.45564,0.003202,0.003202,0.003202
105,9739.27,0.75572,0.53325,1.10611,0.84434,0.71574,0.79691,0.55749,1.11888,0.82046,1.46619,0.003136,0.003136,0.003136
